year,time,time2,gdp_world,gdp_world_five,gdp_world_ten,gdp_hi,gdp_hi_five,gdp_hi_ten,gdp_oecd,gdp_oecd_five,gdp_oecd_ten,gdp_us,gdp_us_three,gdp_us_five,gdp_us_ten,gdp_eu,gdp_eu_five,gdp_eu_ten,em_world,em_world_five,em_world_ten,em_hi,em_hi_five,em_hi_ten,em_oecd,em_oecd_five,em_oecd_ten,em_us,em_us_three,em_us_five,em_us_ten,em_eu,em_eu_five,em_eu_ten,app_count,app_tot,app_old_three,app_new_three,app_old_five,app_new_five,app_old_ten,app_new_ten,app_count_us,app_tot_us,app_five_new_us,app_old_five_us,app_count_eu,app__tot_eu,app_old_five_eu,app_new_five_eu,,new_app_count_us,new_app_tot_us,new_app_five_new_us,new_app_five_old_us,oil_price,oil_price_five,dum_1,dum_2,dum_3,dum_4,em_c_us,em_c_us_four,em_c_us_five,em_c_world,em_c_world_four,em_c_world_five,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,42,1764,3.33958E+13,1.62344E+14,3.03879E+14,2.73303E+13,1.3336E+14,2.5186E+14,2.71404E+13,1.32141E+14,2.4923E+14,1.05818E+13,3.04648E+13,4.81052E+13,7.54214E+13,9.02619E+12,4.64522E+13,9.06887E+13,25276631,122114928.3,235621291.8,13128054.1,64168707.88,124453712,12772890.73,62810268.17,121721132.9,5595794.329,16794148.6,27563874.58,52981468.73,3997697.394,19737579.83,39559427.32,4505,43412,31782,11630,29190,16507,17510,25902,"4,866",54039,16873,37166,2328,20083,11248,8835,,"2,970",41341,9537,31804,24.44389105,102.7176671,,,,,5595794.329,22195159.23,27563874.58,25276631,98139921,122114928.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,43,1849,3.46739E+13,1.65578E+14,3.13089E+14,2.8482E+13,1.36197E+14,2.58781E+14,2.83143E+13,1.352E+14,2.56217E+14,1.09364E+13,3.17706E+13,5.04641E+13,7.92696E+13,9.83217E+12,4.69943E+13,9.191E+13,25646998,123786919,239084872.3,13211555.41,64815705.2,125938952.6,12838148.67,63285038.33,123080064.4,5641309.133,16930788.36,27836468.36,53713244.25,3973997.573,19748573.5,39539134.14,4637,48049,34942,13107,31782,18859,19179,28870,"5,295",59334,19976,39358,2387,22470,12446,10024,,"4,734",46075,12870,33205,25.02325581,108.6483354,,,,,5641309.133,22435457.74,27836468.36,25646998,99672727,123786919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,44,1936,3.89023E+13,1.73102E+14,3.26121E+14,3.19262E+13,1.42375E+14,2.68982E+14,3.16972E+13,1.41363E+14,2.66305E+14,1.14582E+13,3.29765E+13,5.28595E+13,8.32476E+13,1.19622E+13,4.93396E+13,9.60356E+13,27047792,126720519,243970489.8,13409151.65,65659854.1,127451159.7,13037670.14,63968299.44,124530586.6,5675701.926,16912805.39,28111159.66,54360271.73,4047102.885,19826874.95,39647442.65,5349,53398,38907,14491,34942,21616,21131,32267,"6,021",65355,23400,41955,2721,25191,13947,11244,,"4,877",50952,16179,34773,28.83070313,124.763377,,,,,5675701.926,22606490.28,28111159.66,27047792,102661332,126720519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,45,2025,4.38165E+13,1.84376E+14,3.42163E+14,3.55358E+13,1.50866E+14,2.81229E+14,3.52747E+13,1.49811E+14,2.78499E+14,1.22137E+13,3.46084E+13,5.54426E+13,8.78446E+13,1.38131E+13,5.35495E+13,1.01539E+14,28393581,131054913,249812380.2,13637165.12,66551280.72,129034355.1,13184742.5,64655964.61,125981468.2,5756075.232,17073086.29,28362565.51,55021992.88,4056134.706,19986917.49,39818588.88,5591,58989,43412,15577,38907,24047,22849,36140,"6,491",71846,26829,45017,2901,28092,15686,12406,,"5,204",56156,19702,36454,38.265,145.0582992,,,,,5756075.232,22668880.62,28362565.51,28393581,106365002,131054913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,46,2116,4.74574E+13,1.98246E+14,3.58749E+14,3.75812E+13,1.60856E+14,2.92961E+14,3.7289E+13,1.59716E+14,2.9036E+14,1.30366E+13,3.67086E+13,5.82269E+13,9.28869E+13,1.44409E+13,5.90745E+13,1.06345E+14,29490014,135855016,256264870,13654444.55,67040370.83,130551585.8,13204742.32,65038194.36,127306883.3,5789727.291,17221504.45,28458607.91,55678800.25,4039746.883,20114679.44,39910480.23,6642,65631,48049,17582,43412,26724,24908,40723,"7,287",79133,29960,49173,3386,31478,17755,13723,,"5,379",61535,23164,38371,54.52108949,171.0839395,,,,,5789727.291,22862813.58,28458607.91,29490014,110578385,135855016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,47,2209,5.14483E+13,2.16298E+14,3.78642E+14,3.96933E+13,1.73219E+14,3.06579E+14,3.93404E+13,1.71916E+14,3.04057E+14,1.38146E+13,3.9065E+13,6.14596E+13,9.81066E+13,1.54136E+13,6.54618E+13,1.11914E+14,30568112,141146497,263261425.3,13676677.76,67588994.49,131757702.4,13185065.2,65450368.83,128260637,5697285.888,17243088.41,28560099.47,56123974.05,4071767.127,20188749.17,39926329,6988,72619,53398,19221,48049,29207,26905,45714,"8,422",87555,33516,54039,4064,35542,20083,15459,,"5,689",67224,25883,41341,65.1440625,211.7841109,,,,,5697285.888,22918790.34,28560099.47,30568112,115499499,141146497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,48,2304,5.79683E+13,2.39593E+14,4.05171E+14,4.34055E+13,1.88142E+14,3.24339E+14,4.30256E+13,1.86627E+14,3.21827E+14,1.44519E+13,4.13031E+13,6.49751E+13,1.03225E+14,1.7808E+13,7.34377E+13,1.20432E+14,31180501,146680000,270466919,13753428.25,68130867.33,132946572.5,13296475.99,65908696.16,129193734.5,5789030.561,17276043.74,28707820.9,56544289.26,4003410.58,20218162.18,39966735.68,8489,81108,58989,22119,53398,33059,29190,51918,"9,952",97507,38173,59334,5075,40617,22470,18147,,"6,478",73702,27627,46075,72.38907843,259.1499336,,,,,5789030.561,23032118.97,28707820.9,31180501,119632208,146680000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,49,2401,6.36116E+13,2.64302E+14,4.37404E+14,4.61375E+13,2.02353E+14,3.44728E+14,4.55752E+13,2.00505E+14,3.41868E+14,1.47128E+13,4.29793E+13,6.82297E+13,1.08053E+14,1.91571E+13,8.06326E+13,1.29972E+14,32181592,151813800,278534319,13583464.43,68305180.12,133965034.2,13063001.77,65934027.79,129902327.2,5614110.994,17100427.44,28646229.97,56757389.63,3915303.571,20086362.87,39913237.81,9420,90528,65631,24897,58989,37130,31782,58746,"11,300",108807,43452,65355,5950,46567,25191,21376,,"7,566",81268,30316,50952,97.25597276,327.5752032,,,,1,5614110.994,22890154.73,28646229.97,32181592,123420219,151813800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,50,2500,6.03341E+13,2.8082E+14,4.65196E+14,4.32756E+13,2.10093E+14,3.60959E+14,4.26631E+13,2.07893E+14,3.57704E+14,1.44489E+13,4.36136E+13,7.04649E+13,1.12093E+14,1.71183E+13,8.39378E+13,1.37487E+14,31891899,155312118,286367031,12871104.72,67539119.71,134090400.4,12269947.02,65019232.3,129675196.9,5263505.457,16666647.01,28153660.19,56516225.71,3601566.052,19631794.21,39618711.71,10804,101332,72619,28713,65631,42343,34942,66390,"13,248",122055,50209,71846,7164,53731,28092,25639,,"9,588",90856,34700,56156,61.67126482,350.981468,,,,,5263505.457,22363932.9,28153660.19,31891899,125822104,155312118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,51,2601,6.60512E+13,2.99413E+14,4.97659E+14,4.53567E+13,2.17869E+14,3.78724E+14,4.47056E+13,2.1531E+14,3.75026E+14,1.49921E+13,4.41538E+13,7.24203E+13,1.16195E+14,1.70154E+13,8.65123E+13,1.45587E+14,33472376,159294480,295149496,13321124.82,67205799.98,134246170.8,12651502.03,64465992.01,129504186.4,5395532.125,16273148.58,27759465.03,56218072.94,3709775.555,19301822.89,39416502.33,12767,114099,81108,32991,72619,48468,38907,75192,"13,696",135751,56618,79133,7637,61368,31478,29890,,"12,184",103040,41505,61535,79.4955336,375.9559121,,,,,5395532.125,22062179.14,27759465.03,33472376,128726368,159294480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,52,2704,7.33932E+13,3.21358E+14,5.37657E+14,4.89617E+13,2.27137E+14,4.00356E+14,4.80558E+13,2.24025E+14,3.95941E+14,1.55426E+13,4.49836E+13,7.41483E+13,1.20895E+14,1.83996E+13,8.94983E+13,1.5496E+14,34847501,163573869,304720366,13093975.98,66623098.2,134212092.7,12472365.42,63753292.23,129203661.1,5289680.503,15948718.09,27351859.64,55911959.11,3568090.009,18798145.77,38986894.94,13157,127256,90528,36728,81108,54637,43412,83844,"13,014",148765,61210,87555,7815,69183,35542,33641,,"13,320",116360,49136,67224,111.2555976,422.0674472,,,,,5270047.385,21543195.96,27332226.52,34847501,132393368,163573869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,53,2809,7.50851E+13,3.38475E+14,5.78068E+14,4.90166E+13,2.32748E+14,4.2089E+14,4.79846E+13,2.28984E+14,4.15611E+14,1.6197E+13,4.67316E+13,7.58934E+13,1.2642E+14,1.73394E+13,8.90297E+13,1.62467E+14,35470891,167864259,314544259,12965718.53,65835388.48,133966255.8,12285289.74,62742105.98,128650802.1,5119436.361,15804648.99,26682265.44,55390086.34,3494155.955,18288891.14,38507053.32,12895,140151,101332,38819,90528,59043,48049,92102,"11,755",160520,63013,97507,,,,,,"13,567",129927,56225,73702,111.6697024,461.3480712,,,,,5081999.958,21011084.93,26625195.92,35470891,135682667,167864259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,54,2916,7.72363E+13,3.521E+14,6.16402E+14,4.96104E+13,2.36221E+14,4.38574E+14,4.86172E+13,2.32026E+14,4.32531E+14,1.67848E+13,4.85244E+13,7.79654E+13,1.31203E+14,1.80774E+13,8.79499E+13,1.68583E+14,35837591,171520258,323334058,12947592.31,65199516.35,133504696.5,12271846.52,61950950.73,127884978.5,5159160.972,15568277.84,26227315.42,54873545.38,3421472.348,17795059.92,37881422.79,11642,151793,114099,37694,101332,61265,53398,98395,"8,554",169074,60267,108807,,,,,,"13,340",143267,61999,81268,108.6585178,472.7506162,,,,,5170359.99,20917939.46,26181444.92,35837591,139628359,171520258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,55,3025,7.93326E+13,3.71098E+14,6.51918E+14,5.06914E+13,2.43637E+14,4.5373E+14,4.9644E+13,2.39007E+14,4.46901E+14,1.75217E+13,5.05036E+13,8.10382E+13,1.35961E+14,1.8695E+13,8.95267E+13,1.73465E+14,36138285,175766644,331078762,12939717.41,65268129.04,132807248.8,12151110.55,61832114.26,126851346.6,5254279.285,15532876.62,26218089.25,54371749.44,3241844.353,17435338.22,37067132.43,7413,159206,127256,31950,114099,57874,58989,100217,"2,991",172065,50010,122055,,,,,,"13,249",156516,65660,90856,98.94600791,510.0253593,,,,,5225412.661,20747819.99,26143352.12,36138285,142294268,175766644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
